nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Luis Advincula,2022,Defender,32,31,1,2,76.0,7.3,1
Luis Advincula,2023,Defender,33,35,4,3,75.0,7.9,1
Edinson Cavani,2023,Attacker,36,16,3,0,74.0,6.9,0
Edinson Cavani,2024,Attacker,37,18,12,1,75.0,7.8,1
Sergio Romero,2023,Goalkeeper,36,35,0,0,0.0,8.1,1
Nicolas Figal,2022,Defender,28,26,1,1,82.0,7.3,1
Nicolas Figal,2023,Defender,29,32,2,0,83.0,7.4,1
Pol Fernandez,2020,Midfielder,28,15,1,2,85.0,7.5,1
Pol Fernandez,2022,Midfielder,30,34,3,3,84.0,7.1,1
Pol Fernandez,2023,Midfielder,31,38,2,2,83.0,6.8,0
Oscar Romero,2022,Midfielder,30,28,2,5,81.0,7.1,0
Oscar Romero,2023,Midfielder,31,15,1,2,80.0,6.7,0
Jan Hurtado,2019,Attacker,19,18,2,1,65.0,6.4,0
Jan Hurtado,2020,Attacker,20,12,1,0,64.0,6.3,0
Franco Soldano,2020,Attacker,25,22,2,1,66.0,6.5,0
Franco Soldano,2021,Attacker,26,18,1,1,67.0,6.4,0
Lisandro Magallan,2018,Defender,24,28,1,0,80.0,7.2,1
Paolo Goltz,2018,Defender,33,15,0,0,79.0,6.8,0
Paolo Goltz,2019,Defender,34,10,0,0,78.0,6.6,0
Emmanuel Mas,2019,Defender,30,22,1,2,75.0,6.8,0
Emmanuel Mas,2020,Defender,31,18,1,1,74.0,6.7,0
Julio Buffarini,2018,Defender,29,24,0,3,76.0,7.3,1
Julio Buffarini,2019,Defender,30,28,1,2,75.0,7.4,1
Ivan Marcone,2019,Midfielder,28,30,0,1,89.0,7.2,0
Junior Alonso,2019,Defender,26,20,0,1,84.0,7.4,1
Alexis Mac Allister,2019,Midfielder,20,20,2,4,82.0,7.6,1
Daniele De Rossi,2019,Midfielder,36,7,1,0,88.0,7.1,1
Valentin Barco,2023,Midfielder,19,30,1,4,80.0,7.8,1
Nicolas Orsini,2021,Attacker,26,12,1,0,65.0,6.4,0
Nicolas Orsini,2022,Attacker,27,15,2,1,66.0,6.5,0
Norberto Briasco,2023,Attacker,27,10,1,0,68.0,6.4,0
Facundo Roncaglia,2022,Defender,35,12,0,0,77.0,6.3,0
Facundo Roncaglia,2023,Defender,36,15,1,0,76.0,6.2,0
Bruno Valdez,2023,Defender,30,22,0,0,78.0,6.4,0
Lucas Janson,2023,Attacker,28,18,2,1,71.0,6.6,0
Lucas Janson,2024,Attacker,29,12,0,1,70.0,6.4,0
Marcelo Saracchi,2023,Defender,25,14,0,1,77.0,6.6,0
Vicente Taborda,2023,Midfielder,22,10,0,1,75.0,6.5,0
Lautaro Blanco,2024,Defender,25,18,0,7,78.0,7.7,1
Milton Gimenez,2024,Attacker,27,10,5,0,68.0,7.5,1
Gary Medel,2024,Midfielder,36,8,0,0,85.0,6.5,0
Tomas Belmonte,2024,Midfielder,26,12,0,0,82.0,6.6,0
Ignacio Miramon,2024,Midfielder,21,8,0,0,83.0,6.7,0
