nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Mikael YourassowskyM. Yourassowsky,2003,Left-Back,20,2,0,0,82.9,6.0,0
César La PagliaC. La Paglia,2003,Attacking Midfield,24,1,0,0,86.4,6.0,0
Héctor CarballoH. Carballo,2003,Defensive Midfield,23,1,0,0,84.1,6.0,0
Mauro BoselliM. Boselli,2003,Centre-Forward,18,1,0,0,76.3,6.0,0
Carlos TévezC. Tévez,2002,Centre-Forward,18,42,16,15,66.5,8.4,1
Marcelo DelgadoM. Delgado,2002,Centre-Forward,29,45,18,13,73.1,8.3,1
Guillermo Barros SchelottoG. Barros Schelotto,2002,Centre-Forward,29,29,15,3,66.0,8.1,1
Alfredo MorenoA. Moreno,2002,Centre-Forward,22,11,5,0,69.7,7.5,1
Jonathan FabbroJ. Fabbro,2002,Attacking Midfield,20,7,2,1,82.0,7.2,1
Rolando SchiaviR. Schiavi,2002,Centre-Back,29,33,6,0,87.2,7.0,1
Ezequiel GonzálezE. González,2002,Attacking Midfield,21,26,4,2,80.7,7.0,1
Matías DonnetM. Donnet,2002,Attacking Midfield,22,31,5,1,87.7,7.0,1
Hugo IbarraH. Ibarra,2002,Right-Back,28,35,4,1,80.0,6.9,0
Raúl EstévezR. Estévez,2002,Right Winger,24,26,1,6,69.3,6.9,0
Clemente RodríguezC. Rodríguez,2002,Left-Back,20,47,2,5,78.9,6.8,0
Sebastián BattagliaS. Battaglia,2002,Defensive Midfield,21,37,3,2,81.4,6.8,0
Javier VillarrealJ. Villarreal,2002,Right Midfield,23,26,3,2,80.1,6.8,0
Raúl CasciniR. Cascini,2002,Defensive Midfield,31,40,1,3,88.2,6.7,0
José CalvoJ. Calvo,2002,Right-Back,20,11,1,1,86.3,6.6,0
Franco CángeleF. Cángele,2002,Second Striker,17,13,2,0,65.8,6.6,0
Roberto AbbondanzieriR. Abbondanzieri,2002,Goalkeeper,29,49,0,0,0.0,6.5,0
Nicolás BurdissoN. Burdisso,2002,Centre-Back,21,45,0,0,78.5,6.5,0
Diego CrosaD. Crosa,2002,Centre-Back,26,44,0,1,81.3,6.5,0
Matías SilvestreM. Silvestre,2002,Centre-Back,17,8,1,0,83.4,6.5,0
Gustavo PintoG. Pinto,2002,Central Midfield,23,25,1,1,87.1,6.5,0
Diego CagnaD. Cagna,2002,Right Midfield,32,24,0,1,88.0,6.4,0
Miguel CaneoM. Caneo,2002,Attacking Midfield,19,14,1,0,87.3,6.4,0
Pablo JerezP. Jerez,2002,Right-Back,18,14,0,0,81.9,6.2,0
Willy CaballeroWilly Caballero,2002,Goalkeeper,20,7,0,0,0.0,6.1,0
Luis Amaranto PereaL. Perea,2002,Centre-Back,23,4,0,0,80.7,6.1,0
Pablo ÁlvarezP. Álvarez,2002,Right-Back,18,4,0,0,81.6,6.1,0
César GonzálezC. González,2002,Centre-Back,20,5,0,0,80.8,6.1,0
Gustavo EbertoG. Eberto,2002,Goalkeeper,18,1,0,0,0.0,6.0,0
Fabián VargasF. Vargas,2002,Central Midfield,22,3,0,0,89.9,6.0,0
Juan Pablo CaffaJ. Caffa,2002,Left Midfield,17,1,0,0,87.7,6.0,0
Gastón SangoyG. Sangoy,2002,Right Winger,17,2,0,0,76.2,6.0,0
Juan Román RiquelmeJ. Riquelme,2001,Attacking Midfield,23,26,10,14,84.4,8.6,1
Guillermo Barros SchelottoG. Barros Schelotto,2001,Centre-Forward,28,28,10,11,72.1,8.2,1
Walter GaitánW. Gaitán,2001,Attacking Midfield,24,28,9,4,85.0,7.6,1
Marcelo DelgadoM. Delgado,2001,Centre-Forward,28,33,8,7,77.6,7.6,1
Ariel CarreñoA. Carreño,2001,Centre-Forward,22,19,5,3,75.1,7.4,1
Antonio BarijhoA. Barijho,2001,Centre-Forward,24,6,2,0,67.4,7.1,0
Rolando SchiaviR. Schiavi,2001,Centre-Back,28,37,5,1,78.7,6.9,0
Christian GiménezC. Giménez,2001,Attacking Midfield,20,31,4,1,80.3,6.9,0
Sebastián BattagliaS. Battaglia,2001,Defensive Midfield,20,27,3,1,86.8,6.8,0
Nicolás BurdissoN. Burdisso,2001,Centre-Back,20,33,2,2,78.5,6.7,0
Jorge MartínezJ. Martínez,2001,Right-Back,28,23,2,1,79.7,6.7,0
Clemente RodríguezC. Rodríguez,2001,Left-Back,19,33,0,4,87.5,6.7,0
Omar PérezO. Pérez,2001,Attacking Midfield,20,27,0,5,81.2,6.7,0
Carlos TévezC. Tévez,2001,Centre-Forward,17,16,2,1,77.2,6.7,0
José CalvoJ. Calvo,2001,Right-Back,19,28,2,0,86.1,6.6,0
Cristian TraversoC. Traverso,2001,Centre-Back,29,37,1,0,79.0,6.6,0
Naohiro TakaharaN. Takahara,2001,Centre-Forward,22,6,1,0,72.8,6.6,0
Roberto AbbondanzieriR. Abbondanzieri,2001,Goalkeeper,28,34,0,0,0.0,6.4,0
César GonzálezC. González,2001,Centre-Back,19,11,1,0,81.0,6.4,0
Gustavo PintoG. Pinto,2001,Central Midfield,22,27,0,0,83.1,6.4,0
Jorginho PaulistaJorginho Paulista,2001,Left-Back,21,11,0,1,84.1,6.3,0
Julio MarchantJ. Marchant,2001,Right Midfield,21,10,0,1,89.1,6.3,0
Mauricio SernaM. Serna,2001,Defensive Midfield,33,24,0,0,85.2,6.3,0
Óscar CórdobaÓ. Córdoba,2001,Goalkeeper,31,14,0,0,0.0,6.2,0
Willy CaballeroWilly Caballero,2001,Goalkeeper,19,4,0,0,0.0,6.1,0
Joel BarbosaJ. Barbosa,2001,Right-Back,18,9,0,0,87.7,6.1,0
Nahuel FiorettoN. Fioretto,2001,Left Midfield,20,4,0,0,82.6,6.1,0
Javier VillarrealJ. Villarreal,2001,Right Midfield,22,9,0,0,86.6,6.1,0
Roberto ColauttiR. Colautti,2001,Centre-Forward,19,3,0,0,76.6,6.0,0
Martín PalermoM. Palermo,2000,Centre-Forward,26,18,11,1,70.9,8.2,1
Juan Román RiquelmeJ. Riquelme,2000,Attacking Midfield,22,41,13,12,86.0,8.0,1
Marcelo DelgadoM. Delgado,2000,Centre-Forward,27,40,12,11,75.2,8.0,1
Guillermo Barros SchelottoG. Barros Schelotto,2000,Centre-Forward,27,30,11,5,68.8,7.8,1
Antonio BarijhoA. Barijho,2000,Centre-Forward,23,28,9,4,69.8,7.6,1
Omar PérezO. Pérez,2000,Attacking Midfield,19,29,6,0,80.2,7.0,1
Walter GaitánW. Gaitán,2000,Attacking Midfield,23,23,5,1,89.7,7.0,1
Jorge BermúdezJ. Bermúdez,2000,Centre-Back,29,39,5,1,81.7,6.9,0
Hugo IbarraH. Ibarra,2000,Right-Back,26,41,2,3,85.3,6.8,0
Matías ArceM. Arce,2000,Central Midfield,20,7,1,1,88.3,6.8,0
Gustavo Barros SchelottoG. Barros Schelotto,2000,Central Midfield,27,14,2,1,82.9,6.8,0
Nicolás BurdissoN. Burdisso,2000,Centre-Back,19,32,2,1,79.6,6.7,0
Christian GiménezC. Giménez,2000,Attacking Midfield,19,16,2,1,82.1,6.7,0
Aníbal MatellánA. Matellán,2000,Centre-Back,23,40,1,0,84.0,6.6,0
Mauricio SernaM. Serna,2000,Defensive Midfield,32,37,1,1,85.2,6.6,0
Óscar CórdobaÓ. Córdoba,2000,Goalkeeper,30,37,0,1,0.0,6.5,0
Clemente RodríguezC. Rodríguez,2000,Left-Back,18,28,1,1,87.5,6.5,0
Julio MarchantJ. Marchant,2000,Right Midfield,20,29,0,2,88.7,6.5,0
Fernando PandolfiF. Pandolfi,2000,Centre-Forward,26,16,1,1,71.7,6.5,0
Sebastián BattagliaS. Battaglia,2000,Defensive Midfield,19,23,0,1,81.8,6.4,0
Gustavo PintoG. Pinto,2000,Central Midfield,21,25,1,0,83.0,6.4,0
Roberto AbbondanzieriR. Abbondanzieri,2000,Goalkeeper,27,22,0,0,0.0,6.3,0
José PeredaJ. Pereda,2000,Defensive Midfield,26,21,0,0,84.3,6.3,0
José CalvoJ. Calvo,2000,Right-Back,18,12,0,0,79.6,6.2,0
Javier VillarrealJ. Villarreal,2000,Right Midfield,21,14,0,0,81.8,6.2,0
Hernán MedinaH. Medina,2000,Centre-Back,25,7,0,0,78.6,6.1,0
José BasualdoJ. Basualdo,2000,Central Midfield,37,8,0,0,86.1,6.1,0
Martín AndrizziM. Andrizzi,2000,Left Midfield,23,1,0,0,87.1,6.0,0
