nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Agustin Rossi,2022,Goalkeeper,26.0,34.0,0.0,0.0,0.0,7.7,1
Carlos Izquierdoz,2019,Defender,30.0,33.0,3.0,1.0,82.0,7.4,1
Carlos Izquierdoz,2020,Defender,31.0,28.0,2.0,1.0,81.0,7.3,1
Lisandro Lopez,2018,Defender,34.0,30.0,2.0,1.0,83.0,7.3,1
Frank Fabra,2019,Defender,27.0,25.0,2.0,5.0,78.0,7.4,1
Frank Fabra,2022,Defender,30.0,28.0,3.0,6.0,79.0,7.5,1
Cristian Medina,2022,Midfielder,21.0,28.0,4.0,5.0,80.0,7.4,1
Cristian Medina,2023,Midfielder,22.0,32.0,6.0,7.0,81.0,7.6,1
Norberto Briasco,2021,Attacker,25.0,18.0,3.0,2.0,70.0,6.8,0
Norberto Briasco,2022,Attacker,26.0,15.0,2.0,1.0,69.0,6.7,0
Mauro Zarate,2019,Attacker,31.0,14.0,3.0,1.0,68.0,6.6,0
Mauro Zarate,2020,Attacker,32.0,10.0,2.0,0.0,67.0,6.5,0
Jorman Campuzano,2021,Midfielder,25.0,12.0,0.0,1.0,75.0,6.7,0
Jorman Campuzano,2022,Midfielder,26.0,10.0,0.0,0.0,74.0,6.6,0
Diego Gonzalez,2021,Midfielder,28.0,14.0,1.0,1.0,77.0,6.7,0
Diego Gonzalez,2022,Midfielder,29.0,11.0,0.0,0.0,76.0,6.6,0
Edwin Cardona,2021,Midfielder,28.0,16.0,2.0,3.0,76.0,6.8,0
Gonzalo Maroni,2019,Midfielder,20.0,12.0,1.0,2.0,72.0,6.6,0
Gonzalo Maroni,2020,Midfielder,21.0,10.0,1.0,1.0,71.0,6.5,0
Diego Valoyes,2022,Attacker,26.0,13.0,2.0,1.0,68.0,6.5,0
Carlos Tevez_aug,2018,Attacker,34.48,25.9,13.15,4.11,74.16,8.0,1
Carlos Tevez_aug,2018,Attacker,33.28,24.92,12.62,3.88,71.33,7.93,1
Carlos Tevez_aug,2018,Attacker,34.0,24.38,13.6,4.1,75.24,7.74,1
Carlos Tevez_aug,2019,Attacker,34.23,19.29,9.67,2.97,71.4,7.45,1
Carlos Tevez_aug,2019,Attacker,35.15,19.64,10.3,3.14,69.43,7.42,1
Carlos Tevez_aug,2019,Attacker,34.3,20.02,10.35,3.12,66.6,7.36,1
Dario Benedetto_aug,2018,Attacker,28.3,30.31,18.58,5.21,71.3,8.07,1
Dario Benedetto_aug,2018,Attacker,27.64,29.15,19.39,5.05,68.3,7.98,1
Dario Benedetto_aug,2018,Attacker,27.54,29.24,19.72,5.09,68.65,7.78,1
Dario Benedetto_aug,2019,Attacker,27.35,27.4,17.31,3.98,68.5,7.83,1
Dario Benedetto_aug,2019,Attacker,26.8,28.27,17.24,4.08,64.28,7.48,1
Dario Benedetto_aug,2019,Attacker,27.4,27.28,16.32,4.01,70.34,7.92,1
Fernando Gago_aug,2018,Midfielder,30.62,18.72,0.95,3.98,89.78,7.26,1
Fernando Gago_aug,2018,Midfielder,32.51,17.43,1.04,3.83,87.63,7.57,1
Fernando Gago_aug,2018,Midfielder,31.97,18.24,0.95,3.85,85.52,7.53,1
Fernando Gago_aug,2019,Midfielder,33.45,9.51,0.0,1.99,85.91,7.3,1
Fernando Gago_aug,2019,Midfielder,34.3,10.44,0.0,2.05,88.75,7.03,1
Fernando Gago_aug,2019,Midfielder,33.55,9.53,0.0,2.09,86.82,7.39,1
Wilmar Barrios_aug,2018,Midfielder,24.13,33.37,1.92,3.09,85.61,7.75,1
Wilmar Barrios_aug,2018,Midfielder,24.81,31.59,1.98,3.1,87.54,7.33,1
Wilmar Barrios_aug,2018,Midfielder,24.25,32.52,1.91,3.12,84.67,7.52,1
Nahitan Nandez_aug,2018,Midfielder,21.23,36.47,4.02,6.03,77.43,8.12,1
Nahitan Nandez_aug,2018,Midfielder,22.63,33.52,4.17,5.91,81.27,7.74,1
Nahitan Nandez_aug,2018,Midfielder,21.99,36.53,3.86,5.74,78.09,7.96,1
Nahitan Nandez_aug,2019,Midfielder,23.47,31.1,2.86,4.97,77.26,7.63,1
Nahitan Nandez_aug,2019,Midfielder,21.88,30.26,2.86,5.22,78.87,7.69,1
Nahitan Nandez_aug,2019,Midfielder,23.99,30.93,2.88,5.14,78.98,7.92,1
Sebastian Villa_aug,2019,Attacker,22.21,27.86,8.07,6.68,70.49,7.35,1
Sebastian Villa_aug,2019,Attacker,23.51,29.26,7.95,6.8,75.88,7.48,1
Sebastian Villa_aug,2019,Attacker,23.01,28.65,8.15,7.34,73.21,7.79,1
Sebastian Villa_aug,2020,Attacker,23.6,21.13,6.94,6.01,69.9,7.38,1
Sebastian Villa_aug,2020,Attacker,24.04,22.92,7.16,5.73,73.68,7.55,1
Sebastian Villa_aug,2020,Attacker,25.04,21.13,7.02,5.82,70.16,7.26,1
Sebastian Villa_aug,2021,Attacker,23.93,30.05,11.85,8.93,77.52,7.88,1
Sebastian Villa_aug,2021,Attacker,24.4,29.04,12.1,8.75,74.45,8.14,1
Sebastian Villa_aug,2021,Attacker,25.01,28.92,11.52,9.29,75.64,7.64,1
Eduardo Salvio_aug,2020,Attacker,29.75,25.52,8.71,6.88,72.89,7.48,1
Eduardo Salvio_aug,2020,Attacker,28.93,25.5,9.42,6.69,76.07,7.46,1
Eduardo Salvio_aug,2020,Attacker,27.63,25.0,8.91,6.86,73.71,7.58,1
Eduardo Salvio_aug,2021,Attacker,30.41,27.47,7.79,7.62,72.57,7.93,1
Eduardo Salvio_aug,2021,Attacker,30.9,27.75,7.72,7.8,76.68,7.73,1
Eduardo Salvio_aug,2021,Attacker,29.2,26.93,8.34,7.73,78.0,7.78,1
Marcos Rojo_aug,2021,Defender,30.2,26.79,3.02,1.04,84.73,7.43,1
Marcos Rojo_aug,2021,Defender,31.77,27.73,3.01,0.97,77.64,7.27,1
Marcos Rojo_aug,2021,Defender,29.7,27.63,3.04,1.04,82.92,7.13,1
Marcos Rojo_aug,2022,Defender,33.33,24.98,2.0,1.01,82.78,7.39,1
Marcos Rojo_aug,2022,Defender,30.96,24.71,1.96,0.97,81.91,7.35,1
Marcos Rojo_aug,2022,Defender,33.48,24.41,1.95,1.02,81.39,7.29,1
Luis Vazquez_aug,2022,Attacker,20.12,23.63,9.67,3.12,72.11,7.17,1
Luis Vazquez_aug,2022,Attacker,20.48,24.32,10.36,3.1,72.45,7.35,1
Luis Vazquez_aug,2022,Attacker,21.25,24.01,9.67,3.1,68.89,7.42,1
Luis Vazquez_aug,2023,Attacker,21.76,28.87,11.8,4.18,69.02,7.75,1
Luis Vazquez_aug,2023,Attacker,20.99,27.03,11.92,3.85,72.22,7.8,1
Luis Vazquez_aug,2023,Attacker,21.31,26.67,12.03,4.11,72.57,7.74,1
Luca Langoni_aug,2022,Attacker,19.01,20.75,6.01,4.14,72.93,7.03,1
Luca Langoni_aug,2022,Attacker,19.54,19.76,6.3,3.94,71.28,7.55,1
Luca Langoni_aug,2022,Attacker,19.8,20.09,5.74,4.02,68.79,6.96,1
Luca Langoni_aug,2023,Attacker,19.99,26.14,7.87,5.06,72.0,7.76,1
Luca Langoni_aug,2023,Attacker,20.81,25.11,8.02,4.86,70.07,7.47,1
Luca Langoni_aug,2023,Attacker,21.95,26.19,8.36,5.09,72.0,7.5,1
Exequiel Zeballos_aug,2022,Attacker,19.21,22.59,4.91,6.3,75.19,7.42,1
Exequiel Zeballos_aug,2022,Attacker,20.5,21.58,4.96,5.93,72.34,7.22,1
Exequiel Zeballos_aug,2022,Attacker,20.3,22.11,5.15,6.25,76.44,7.56,1
Exequiel Zeballos_aug,2023,Attacker,21.81,25.51,6.98,8.15,72.52,7.48,1
Exequiel Zeballos_aug,2023,Attacker,20.79,25.97,7.3,8.06,73.99,7.53,1
Exequiel Zeballos_aug,2023,Attacker,21.79,26.35,6.89,7.69,73.15,7.97,1
Agustin Rossi_aug,2021,Goalkeeper,24.09,35.86,0.0,0.0,0.0,7.89,1
Agustin Rossi_aug,2021,Goalkeeper,25.7,36.9,0.0,0.0,0.0,7.51,1
Agustin Rossi_aug,2021,Goalkeeper,25.79,35.21,0.0,0.0,0.0,7.81,1
Agustin Rossi_aug,2022,Goalkeeper,25.47,35.17,0.0,0.0,0.0,7.4,1
Agustin Rossi_aug,2022,Goalkeeper,24.9,34.27,0.0,0.0,0.0,7.91,1
Agustin Rossi_aug,2022,Goalkeeper,26.34,34.7,0.0,0.0,0.0,8.03,1
Carlos Izquierdoz_aug,2019,Defender,30.69,34.49,3.14,0.99,85.96,7.28,1
Carlos Izquierdoz_aug,2019,Defender,30.32,33.13,2.87,1.02,80.6,7.22,1
Carlos Izquierdoz_aug,2019,Defender,31.15,33.29,2.99,1.0,81.1,7.4,1
Carlos Izquierdoz_aug,2020,Defender,30.73,29.32,1.95,1.04,83.86,7.44,1
Carlos Izquierdoz_aug,2020,Defender,31.2,28.89,1.93,1.02,84.69,7.05,1
Carlos Izquierdoz_aug,2020,Defender,30.29,27.36,2.04,1.03,79.24,7.12,1
Lisandro Lopez_aug,2018,Defender,34.1,30.8,1.97,0.98,82.32,7.27,1
Lisandro Lopez_aug,2018,Defender,34.71,29.06,1.98,1.04,86.98,7.46,1
Lisandro Lopez_aug,2018,Defender,32.44,29.36,2.03,1.0,82.86,7.49,1
Frank Fabra_aug,2019,Defender,26.11,23.81,1.96,5.17,78.74,7.62,1
Frank Fabra_aug,2019,Defender,28.12,25.68,2.05,5.19,76.6,7.71,1
Frank Fabra_aug,2019,Defender,27.99,25.26,1.9,5.0,80.98,7.29,1
Frank Fabra_aug,2022,Defender,30.49,26.82,3.11,6.0,82.71,7.4,1
Frank Fabra_aug,2022,Defender,29.32,28.33,3.12,5.72,75.66,7.23,1
Frank Fabra_aug,2022,Defender,29.76,28.45,2.87,5.97,80.16,7.54,1
Cristian Medina_aug,2022,Midfielder,19.99,28.42,4.16,4.85,81.56,7.12,1
Cristian Medina_aug,2022,Midfielder,20.21,27.27,4.02,5.2,83.42,7.08,1
Cristian Medina_aug,2022,Midfielder,21.36,27.82,3.95,5.12,77.84,7.41,1
Cristian Medina_aug,2023,Midfielder,22.17,31.67,6.29,6.76,82.12,7.7,1
Cristian Medina_aug,2023,Midfielder,21.14,31.96,5.92,6.99,77.9,7.48,1
Cristian Medina_aug,2023,Midfielder,21.49,33.38,6.29,7.13,78.69,7.43,1
Norberto Briasco_aug,2021,Attacker,26.22,18.72,3.08,2.03,69.54,6.56,0
Norberto Briasco_aug,2021,Attacker,24.65,17.24,2.92,2.05,66.63,7.14,0
Norberto Briasco_aug,2021,Attacker,25.77,17.12,3.09,1.96,72.37,6.98,0
Norberto Briasco_aug,2022,Attacker,26.25,15.13,1.99,1.05,70.9,6.71,0
Norberto Briasco_aug,2022,Attacker,24.78,14.89,1.99,0.96,65.85,6.85,0
Norberto Briasco_aug,2022,Attacker,25.93,15.12,1.92,1.02,69.61,6.6,0
Mauro Zarate_aug,2019,Attacker,30.55,14.69,3.02,0.96,65.31,6.47,0
Mauro Zarate_aug,2019,Attacker,31.71,13.72,3.03,1.05,64.72,6.93,0
Mauro Zarate_aug,2019,Attacker,29.51,13.67,3.13,1.02,68.89,6.62,0
Mauro Zarate_aug,2020,Attacker,31.23,10.07,2.02,0.0,67.21,6.41,0
Mauro Zarate_aug,2020,Attacker,31.76,9.52,1.92,0.0,67.78,6.82,0
Mauro Zarate_aug,2020,Attacker,33.01,9.55,1.94,0.0,64.27,6.56,0
Jorman Campuzano_aug,2021,Midfielder,24.59,11.52,0.0,1.0,74.8,6.8,0
Jorman Campuzano_aug,2021,Midfielder,24.94,11.6,0.0,1.0,74.37,7.01,0
Jorman Campuzano_aug,2021,Midfielder,24.58,12.05,0.0,0.97,77.77,6.65,0
Jorman Campuzano_aug,2022,Midfielder,25.81,10.0,0.0,0.0,75.52,6.81,0
Jorman Campuzano_aug,2022,Midfielder,26.57,10.14,0.0,0.0,71.74,6.29,0
Jorman Campuzano_aug,2022,Midfielder,26.03,10.25,0.0,0.0,77.06,6.88,0
Diego Gonzalez_aug,2021,Midfielder,27.95,14.66,0.97,0.99,75.86,6.95,0
Diego Gonzalez_aug,2021,Midfielder,29.07,13.98,1.01,0.99,78.86,6.52,0
Diego Gonzalez_aug,2021,Midfielder,27.13,13.63,1.03,1.05,79.5,6.46,0
Diego Gonzalez_aug,2022,Midfielder,29.49,11.05,0.0,0.0,79.74,6.51,0
Diego Gonzalez_aug,2022,Midfielder,30.37,11.0,0.0,0.0,79.06,6.85,0
Diego Gonzalez_aug,2022,Midfielder,29.77,10.65,0.0,0.0,77.18,6.39,0
Edwin Cardona_aug,2021,Midfielder,26.82,16.34,1.96,3.15,75.87,6.5,0
Edwin Cardona_aug,2021,Midfielder,27.36,16.58,2.06,3.03,76.09,6.71,0
Edwin Cardona_aug,2021,Midfielder,27.43,16.16,2.03,2.89,76.33,7.1,0
Gonzalo Maroni_aug,2019,Midfielder,20.34,12.43,1.04,2.01,74.37,6.81,0
Gonzalo Maroni_aug,2019,Midfielder,20.71,11.49,0.98,2.0,74.67,6.91,0
Gonzalo Maroni_aug,2019,Midfielder,20.56,12.4,1.04,2.07,74.05,6.74,0
Gonzalo Maroni_aug,2020,Midfielder,21.92,10.23,0.98,1.04,72.72,6.63,0
Gonzalo Maroni_aug,2020,Midfielder,20.62,10.37,1.0,1.03,71.93,6.24,0
Gonzalo Maroni_aug,2020,Midfielder,20.55,9.51,1.04,1.02,68.26,6.59,0
Diego Valoyes_aug,2022,Attacker,26.77,12.6,1.92,1.0,66.41,6.63,0
Diego Valoyes_aug,2022,Attacker,26.78,12.97,2.04,0.99,67.03,6.2,0
Diego Valoyes_aug,2022,Attacker,25.52,13.42,2.01,0.96,68.93,6.8,0
